Request #,Request Title,Fulfiller,Requester,Department/Lab,Project Type,Core Created Libraries,Read Type,Read Length,Machine Type,Status,Illumina Analysis Pipeline,Requested Date,Completed Date,Pooling Comments,# Lanes Needed,Scientific Projects,Comments,Analysis Goals,Analyst,Charge Project/Award,Constructed Date,Created Date,Creator,Due Date,IBC Completed,IBC Number,Machine Mode,Outsourced,Special Instructions,Staff Comments,Technician,Updated Date,Analysis Result Paths,Flowcell Result Paths
MOLNG-1140,Knockout vs control bulk RNA,"Doe, Jane","Jones, Lee",Example Lab,10x_scRNA-Seq_CellPlex_v3.1,FALSE,Paired Reads,,NextSeq 500,Completed,,5/25/23 09:15,7/28/24 14:30,,4,,,,,,,,,,,,,,,,,,,/n/analysis/Example/def/MOLNG-1140/H76WDRX3/
MOLNG-1147,"Perturbation screen, pooled","Doe, Jane","Garcia, Max",Example Lab,10x_ATAC-Seq_v1.1,FALSE,Paired Reads,75,NextSeq 2000,Completed,,11/3/24 09:15,2/20/23 14:30,,1,,,,,,,,,,,,,,,,,,,/n/analysis/Example/ghi/MOLNG-1147/H78STNMX2/
MOLNG-1154,Patient-derived line comparison,"Coe, Robin","Garcia, Max",Example Lab,10x_scRNA-Seq_NextGEM_v3.1,TRUE,Paired Reads,50,HiSeq,Completed,,1/6/23 09:15,5/21/24 14:30,,2,,,,,,,,,,,,,,,,,,,/n/analysis/Example/ghi/MOLNG-1154/H25QDMX2/
MOLNG-1161,"Perturbation screen, pooled","Doe, Jane","Garcia, Max",Example Lab,10x_Multiome_scRNA+ATAC-seq_v1,TRUE,Single Read,150,MiSeq,Canceled,,9/16/23 09:15,,,4,,,,,,,,,,,,,,,,,,,
MOLNG-1168,Cell-line differentiation panel,"Coe, Robin","Okafor, Noor",Demo Lab,10X scRNA-Seq_v3,TRUE,Paired Reads,50,NovaSeq 6000,Completed,,7/12/22 09:15,3/1/22 14:30,,3,,,,,,,,,,,,,,,,,,,/n/analysis/Example/jkl/MOLNG-1168/H23YTNMX2/
MOLNG-1175,"Developmental series, whole embryo","Poe, Alex","Okafor, Noor",Example Lab,Poly-A Non-stranded RNA-Seq (Molbio: Nextera Only),TRUE,Single Read,50,NextSeq 500,Completed,,5/15/22 09:15,5/12/24 14:30,,3,,,,,,,,,,,,,,,,,,,/n/analysis/Example/def/MOLNG-1175/H30BDMX2/
MOLNG-1182,Cortical organoid time course,"Poe, Alex","Chen, Riley",Example Lab,Ribo-dep Stranded RNA-Seq,FALSE,Single Read,50,HiSeq,Completed,,9/25/22 09:15,2/9/22 14:30,,2,,,,,,,,,,,,,,,,,,,/n/analysis/Example/jkl/MOLNG-1182/H14KDMX2/
MOLNG-1189,"Spatial panel, coronal sections","Roe, Sam","Smith, Pat",Example Lab,Ribogone Stranded RNA-Seq,FALSE,Paired Reads,50,HiSeq,Canceled,,12/20/23 09:15,,,1,,,,,,,,,,,,,,,,,,,
MOLNG-1196,Patient-derived line comparison,"Roe, Sam","Okafor, Noor",Example Lab,10X scRNA-Seq,TRUE,Paired Reads,,NovaSeq 6000,Completed,,11/12/22 09:15,7/27/25 14:30,,1,,,,,,,,,,,,,,,,,,,/n/analysis/Example/abc/MOLNG-1196/H75XDRX3/
MOLNG-1203,"Spatial panel, coronal sections","Doe, Jane","Chen, Riley",Example Lab,poly-A Stranded RNA-Seq,TRUE,Single Read,,HiSeq,Completed,,5/26/22 09:15,5/8/23 14:30,,2,,,,,,,,,,,,,,,,,,,/n/analysis/Example/jkl/MOLNG-1203/H90TTNMX2/
MOLNG-1210,"Spatial panel, coronal sections","Doe, Jane","Okafor, Noor",Example Lab,10x_scRNA-Seq_CellPlex_v3.1,TRUE,Paired Reads,75,HiSeq,Completed,,10/19/23 09:15,1/16/22 14:30,,4,,,,,,,,,,,,,,,,,,,/n/analysis/Example/ghi/MOLNG-1210/H73NDMX2/
MOLNG-1217,Cell-line differentiation panel,"Poe, Alex","Okafor, Noor",Demo Lab,Ribo-dep Non-stranded RNA-Seq,FALSE,Single Read,,MiSeq,Completed,,5/3/25 09:15,1/10/25 14:30,,1,,,,,,,,,,,,,,,,,,,/n/analysis/Example/jkl/MOLNG-1217/H96DTNMX2/
MOLNG-1224,ATAC profiling of sorted populations,"Doe, Jane","Okafor, Noor",Example Lab,10x_scRNA-Seq_NextGEM_v3.1,FALSE,Paired Reads,50,Unknown,Completed,,5/4/24 09:15,4/16/25 14:30,,4,,,,,,,,,,,,,,,,,,,/n/analysis/Example/abc/MOLNG-1224/H44NDMX2/
MOLNG-1231,"Developmental series, whole embryo","Poe, Alex","Jones, Lee",Demo Lab,DNA-Seq (1ug),FALSE,Paired Reads,,HiSeq,Completed,,1/11/24 09:15,7/4/23 14:30,,1,,,,,,,,,,,,,,,,,,,/n/analysis/Example/ghi/MOLNG-1231/H30ADRX3/
MOLNG-1238,"Regeneration time course, injury model","Doe, Jane","Garcia, Max",Demo Lab,10X scRNA-Seq,TRUE,Paired Reads,,NextSeq 2000,Completed,,11/10/23 09:15,4/9/25 14:30,,3,,,,,,,,,,,,,,,,,,,/n/analysis/Example/def/MOLNG-1238/H42MDMX2/
MOLNG-1245,"Developmental series, whole embryo","Roe, Sam","Smith, Pat",Example Lab,Ribogone Stranded RNA-Seq,FALSE,Paired Reads,75,HiSeq,Completed,,1/18/23 09:15,3/16/25 14:30,,3,,,,,,,,,,,,,,,,,,,/n/analysis/Example/ghi/MOLNG-1245/H57PDMX2/
MOLNG-1252,"Spatial panel, coronal sections","Coe, Robin","Jones, Lee",Demo Lab,Ribo-dep Non-stranded RNA-Seq,FALSE,Paired Reads,50,NextSeq 500,Completed,,2/7/25 09:15,9/8/25 14:30,,3,,,,,,,,,,,,,,,,,,,/n/analysis/Example/jkl/MOLNG-1252/H48JTNMX2/
MOLNG-1259,Knockout vs control bulk RNA,"Roe, Sam","Garcia, Max",Example Lab,Poly-A Non-stranded RNA-Seq (Molbio: Nextera Only),TRUE,Single Read,75,MiSeq,Canceled,,1/24/25 09:15,,,4,,,,,,,,,,,,,,,,,,,
MOLNG-1266,"Perturbation screen, pooled","Doe, Jane","Chen, Riley",Demo Lab,Poly-A Non-stranded RNA-Seq (Molbio: Nextera Only),TRUE,Single Read,150,NovaSeq 6000,Completed,,2/9/23 09:15,7/13/25 14:30,,4,,,,,,,,,,,,,,,,,,,/n/analysis/Example/ghi/MOLNG-1266/H62SDMX2/
MOLNG-1273,Cell-line differentiation panel,"Coe, Robin","Smith, Pat",Example Lab,Ribogone Stranded RNA-Seq,FALSE,Single Read,50,NextSeq 2000,Completed,,4/5/23 09:15,9/22/22 14:30,,4,,,,,,,,,,,,,,,,,,,/n/analysis/Example/abc/MOLNG-1273/H12EDMX2/
